Age	Attrition	BusinessTravel	Department	DistanceFromHome	Education	EnvironmentSatisfaction	Gender	JobInvolvement	JobRole	JobSatisfaction	MaritalStatus	MonthlyIncome	NumCompaniesWorked	OverTime	RelationshipSatisfaction	TotalWorkingYears	TrainingTimesLastYear	WorkLifeBalance	PCA_Years	PCA_Performance_and_Percent
41	1	Travel_Rarely	Sales	1	2	2	Female	3	Sales Executive	4	Single	5993	8	Yes	1	8	0	1	-0.2950758903	-1.1149547413
49	0	Travel_Frequently	Research & Development	8	1	3	Male	2	Research Scientist	2	Married	5130	1	No	4	10	3	3	0.8995800858	3.1646260383
37	1	Travel_Rarely	Research & Development	2	2	4	Male	2	Laboratory Technician	3	Single	2090	6	Yes	2	7	3	3	-2.0957341415	-0.3418843
33	0	Travel_Frequently	Research & Development	3	4	4	Female	3	Research Scientist	3	Married	2909	1	Yes	3	8	3	3	0.0022610943	-1.1149547413
27	0	Travel_Rarely	Research & Development	2	1	1	Male	3	Laboratory Technician	2	Married	3468	9	No	4	6	3	3	-1.0797994639	-0.921687131
32	0	Travel_Frequently	Research & Development	2	2	4	Male	3	Laboratory Technician	4	Single	3068	0	No	3	8	2	2	0.7696739525	-0.7284195206
59	0	Travel_Rarely	Research & Development	3	3	3	Female	4	Laboratory Technician	1	Married	2670	4	Yes	1	12	3	2	-2.0085850468	2.5848232073
30	0	Travel_Rarely	Research & Development	24	1	4	Male	3	Laboratory Technician	3	Divorced	2693	1	No	2	1	2	3	-2.0085850468	2.971358428
38	0	Travel_Frequently	Research & Development	23	3	4	Male	2	Manufacturing Director	3	Single	9526	0	No	2	10	2	3	0.9548579833	2.7780908176
36	0	Travel_Rarely	Research & Development	27	3	3	Male	3	Healthcare Representative	3	Married	5237	6	No	2	17	3	2	1.4600372301	-0.7284195206
35	0	Travel_Rarely	Research & Development	16	3	1	Male	4	Laboratory Technician	2	Married	2426	0	No	3	6	5	3	-0.6670789692	-0.7284195206
29	0	Travel_Rarely	Research & Development	15	2	4	Female	2	Laboratory Technician	3	Single	4193	0	Yes	4	10	3	3	0.5350595507	-0.921687131
31	0	Travel_Rarely	Research & Development	26	1	1	Male	3	Research Scientist	3	Divorced	2911	1	No	4	5	1	2	-0.4019570451	0.0446509207
34	0	Travel_Rarely	Research & Development	19	2	2	Male	3	Laboratory Technician	4	Divorced	2661	0	No	3	3	2	3	-1.2167835352	-1.1149547413
28	1	Travel_Rarely	Research & Development	24	3	3	Male	2	Laboratory Technician	3	Single	2028	5	Yes	2	6	4	3	-1.0370424252	-0.5351519103
29	0	Travel_Rarely	Research & Development	21	4	2	Female	4	Manufacturing Director	1	Divorced	9980	1	No	3	10	1	3	2.2837099388	-1.1149547413
32	0	Travel_Rarely	Research & Development	5	2	1	Male	4	Research Scientist	2	Divorced	3298	0	Yes	4	7	5	2	-0.5778902516	-0.921687131
22	0	Non-Travel	Research & Development	16	2	4	Male	4	Laboratory Technician	4	Divorced	2935	1	Yes	2	1	2	2	-2.0085850468	-0.7284195206
53	0	Travel_Rarely	Sales	2	4	1	Female	2	Manager	4	Married	15427	2	No	3	31	3	3	2.6221918288	-0.1486166896
38	0	Travel_Rarely	Research & Development	2	3	4	Male	3	Research Scientist	4	Single	3944	5	Yes	3	6	3	3	-1.1296344406	-1.1149547413
24	0	Non-Travel	Research & Development	11	2	1	Female	4	Manufacturing Director	3	Divorced	4011	0	No	4	5	5	2	-0.9000583538	0.2379185311
36	1	Travel_Rarely	Sales	9	4	3	Male	2	Sales Representative	1	Single	3407	7	No	2	10	4	3	-0.8084861499	3.1646260383
34	0	Travel_Rarely	Research & Development	7	4	1	Female	3	Research Director	2	Single	11994	0	No	3	13	4	3	1.6391631344	-1.1149547413
21	0	Travel_Rarely	Research & Development	15	2	3	Male	3	Research Scientist	4	Single	1232	1	No	4	0	6	3	-2.0957341415	-0.5351519103
34	1	Travel_Rarely	Research & Development	6	1	2	Male	3	Research Scientist	1	Single	2960	2	No	3	8	2	3	-0.9000583538	-1.1149547413
53	0	Travel_Rarely	Research & Development	5	3	3	Female	3	Manager	3	Divorced	19094	4	No	4	26	3	2	2.6499987545	-1.1149547413
32	1	Travel_Frequently	Research & Development	16	1	2	Female	1	Research Scientist	1	Single	3919	1	Yes	2	10	5	3	0.8774645394	2.971358428
42	0	Travel_Rarely	Sales	8	4	3	Male	3	Sales Executive	2	Married	6825	0	No	4	10	2	3	0.5112482446	-1.1149547413
